,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,projectID,projectID
1424,Trypilska TPP,Hard Coal,Steam turbine,PP,UA,1225,,0.0,0.0,0.0,0.0,1969.0,,,,50.1344,30.7468,[nan],"{'GEO': ['GEO43000'], 'GPD': ['WRI1005099'], 'CARMA': ['CARMA46410']}"
,Trypilska ,Natural Gas,Steam turbine,PP,UA,600,,0.0,0.0,0.0,0.0,1971.0,,,,50.1344,30.7468,[nan],"{'GEO': ['GEO43000'], 'GPD': ['WRI1005099'], 'CARMA': ['CARMA46410']}"
2714,Vuhlehirska TPP,Hard Coal,Steam turbine,PP,UA,1200,,0.0,0.0,0.0,0.0,1972.0,,,,48.4633,38.20328,[nan],"{'GEO': ['GEO43001'], 'GPD': ['WRI1005107']}"
2715,Zaporizka TPP,Hard Coal,Steam turbine,PP,UA,1250,,0.0,0.0,0.0,0.0,1972.0,2016.0,,,47.5089,34.6253,[nan],"{'GEO': ['GEO42988'], 'GPD': ['WRI1005101']}"
1407,Zmiyivska TPP,Hard Coal,Steam turbine,PP,UA,1980,,0.0,0.0,0.0,0.0,1960.0,,,,49.5852,36.5231,[nan],"{'GEO': ['GEO42999'], 'GPD': ['WRI1005103'], 'CARMA': ['CARMA51042']}"
2465,Moldavskaya gres,Hard Coal,,PP,MD,2520.0,,0.0,0.0,0.0,0.0,,,,,46.6292,29.9407,[nan],"{'GPD': ['WRI1002989'], 'CARMA': ['CARMA28979']}"
,Cherkaska CHP,Hard Coal,Steam turbine,CHP,UA,50,,0.0,0.0,0.0,0.0,1961.0,,,,49.3861,32.0615,[nan],
3680,Chernihivska CHP,Hard Coal,Steam turbine,CHP,UA,210,,0.0,0.0,0.0,0.0,1964.0,2004.0,,,51.455,31.2602,[nan],"{'GPD': ['WRI1075853'], 'CARMA': ['CARMA8190']}"
,Darnitska CHP,Hard Coal,Steam turbine,CHP,UA,160,,0.0,0.0,0.0,0.0,1964.0,,,,50.4154,30.6936,[nan],
,Dniprovska CHP,Hard Coal,Steam turbine,CHP,UA,31,,0.0,0.0,0.0,0.0,1932.0,,,,48.52884,34.60465,[nan],
,Eskhar-2 CHP,Hard Coal,Steam turbine,CHP,UA,124,,0.0,0.0,0.0,0.0,1956.0,,,,49.795,36.592,[nan],
,Kalushska CHP,Hard Coal,Steam turbine,CHP,UA,100,,0.0,0.0,0.0,0.0,1967.0,,,,49.0414,24.3950,[nan],
,Kharkhivska CHP-3,Hard Coal,Steam turbine,CHP,UA,74,,0.0,0.0,0.0,0.0,1990.0,,,,49.970371,36.107159,[nan],
